id,species_id,site_id,season,site_name,ccamlr_id,latitude,longitude,w_1,w_2,obs_1,obs_2,lza_mean,lza_sd,l_a_median,l_a_mean,l_a_sd
m-7qaxqvjwww9l,ADPE,ACUN,1970,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.631018974998657,1.2936190899570421,1.055321094066512,1.0871343088988792,0.29218995162003675
m-7qaxqvjwww9l,ADPE,ACUN,1971,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.679355759740022,1.2633057400740184,1.0493219410266343,1.086131824863734,0.29183596060372274
m-7qaxqvjwww9l,ADPE,ACUN,1972,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.727050192880406,1.2356154882296102,1.0363371705260727,1.0776862239890193,0.2929193149696759
m-7qaxqvjwww9l,ADPE,ACUN,1973,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.76661250199131,1.2098045758569866,1.0409153516528469,1.0753923115792394,0.28951624423469724
m-7qaxqvjwww9l,ADPE,ACUN,1974,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.804257349611453,1.1758223983995522,1.0410850376906655,1.077165699255328,0.29213448125269725
m-7qaxqvjwww9l,ADPE,ACUN,1975,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.8431135062415045,1.1491574095633226,1.0364379422560783,1.0745020325154975,0.28992147729125856
m-7qaxqvjwww9l,ADPE,ACUN,1976,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.879919847083269,1.1163853719478996,1.033929900984981,1.0690626954269022,0.2842712795504415
m-7qaxqvjwww9l,ADPE,ACUN,1977,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.9125405162813065,1.086223914902509,1.0333548808052815,1.0752787847926937,0.29277834279272785
m-7qaxqvjwww9l,ADPE,ACUN,1978,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,6.949529228664931,1.0477944455467783,1.0583981978520889,1.0998101638710933,0.30246935496823346
m-7qaxqvjwww9l,ADPE,ACUN,1979,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.008472581166041,1.0071071462113803,1.0407549646605996,1.0772542378671854,0.29139414620971626
m-7qaxqvjwww9l,ADPE,ACUN,1980,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.047075068456826,0.968241233286722,1.0567297389744255,1.0936784541468483,0.2942841816922425
m-7qaxqvjwww9l,ADPE,ACUN,1981,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.101542779737684,0.923013691238182,1.036489416530167,1.072342134147533,0.2903344172318461
m-7qaxqvjwww9l,ADPE,ACUN,1982,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.135748632304111,0.8853495502192055,1.048296345804109,1.083830506179278,0.2959271631941582
m-7qaxqvjwww9l,ADPE,ACUN,1983,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.180317440380552,0.844296022163389,1.072868321337346,1.1087315879999184,0.3013501663457792
m-7qaxqvjwww9l,ADPE,ACUN,1984,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.247914853160086,0.795289136645136,1.0518202149005258,1.087215690280016,0.2889564377802177
