id,species_id,site_id,season,site_name,ccamlr_id,latitude,longitude,w_1,w_2,obs_1,obs_2,lza_mean,lza_sd,l_a_median,l_a_mean,l_a_sd
m-rfnk3h13vr07,CHPE,ACUN,1970,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.1070108495731255,1.2326281067152696,1.0996135626743926,1.164652282009962,0.4124276384646595
m-rfnk3h13vr07,CHPE,ACUN,1971,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.200257127305158,1.176867983330984,1.1028908849240626,1.1688514778476178,0.4114836862485147
m-rfnk3h13vr07,CHPE,ACUN,1972,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.297599548430544,1.1324197388018804,1.100453653377589,1.1657084082017297,0.4154342058346531
m-rfnk3h13vr07,CHPE,ACUN,1973,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.391010780241931,1.0782028594733264,1.0988829374876532,1.1629891430139105,0.4095243808067753
m-rfnk3h13vr07,CHPE,ACUN,1974,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.483457214233214,1.0280898218027434,1.0994737166484376,1.1651098118463783,0.41280142901535344
m-rfnk3h13vr07,CHPE,ACUN,1975,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.577439103294736,0.9696549533716575,1.096138193587327,1.1658447308317481,0.4157638328082981
m-rfnk3h13vr07,CHPE,ACUN,1976,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.671578313902524,0.9072702626139788,1.1090641048928225,1.1707784180691905,0.4208876765729322
m-rfnk3h13vr07,CHPE,ACUN,1977,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.768774627104266,0.8403548409212891,1.139435092227607,1.2041240989036217,0.4189319577101759
m-rfnk3h13vr07,CHPE,ACUN,1978,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,7.897350064298427,0.7758656598107457,1.1198091350140176,1.1880488662214335,0.4214168138633345
m-rfnk3h13vr07,CHPE,ACUN,1979,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.01033839045679,0.6943941432576307,1.097111505479357,1.162590369096337,0.40598728963754543
m-rfnk3h13vr07,CHPE,ACUN,1980,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.10391922224003,0.617484744160883,1.0880418001097039,1.1500096944910232,0.3901105677386498
m-rfnk3h13vr07,CHPE,ACUN,1981,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.1891303603654,0.5276793480379883,1.0774842073693014,1.1391366794176616,0.39644781019094505
m-rfnk3h13vr07,CHPE,ACUN,1982,Acuna Island,48.2,-60.7612,-44.637,1,1,0,1,8.261686414022602,0.4060006795337765,1.0803095990133724,1.147470946879746,0.4031691076824584
m-rfnk3h13vr07,CHPE,ACUN,1983,Acuna Island,48.2,-60.7612,-44.637,1,1,1,0,8.340516181143606,0.21849261960537766,1.1684352894105663,1.239316010546513,0.42953276257470874
m-rfnk3h13vr07,CHPE,ACUN,1984,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.499051956342253,0.3875441771940069,1.1004633530106123,1.1665417564359113,0.4014898494461791
m-rfnk3h13vr07,CHPE,ACUN,1985,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.597497338330847,0.4927547816195503,1.1298863825082053,1.1958253692174754,0.40530147424452906
m-rfnk3h13vr07,CHPE,ACUN,1986,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.721489167126654,0.5734416706488487,0.9575991014298533,1.0055728138506441,0.3334968235360572
m-rfnk3h13vr07,CHPE,ACUN,1987,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.674635878356924,0.6307863737477318,0.9929794040294972,1.0503696089965702,0.3555565695023587
m-rfnk3h13vr07,CHPE,ACUN,1988,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.669607628698058,0.6797683223969547,1.0289176343655222,1.083750392168063,0.36425450469824444
m-rfnk3h13vr07,CHPE,ACUN,1989,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.696176538952813,0.7201501124592821,0.9195859396541761,0.9686839328897102,0.3265589701816437
m-rfnk3h13vr07,CHPE,ACUN,1990,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.610205466475758,0.7460623574445513,0.9880635128779689,1.037450535276712,0.35382221545360254
m-rfnk3h13vr07,CHPE,ACUN,1991,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.591625710704925,0.758115140152164,1.0779934040535881,1.1448370666325398,0.39546917998864506
m-rfnk3h13vr07,CHPE,ACUN,1992,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.671529562373797,0.7717073611748131,0.9741950365904277,1.026923296053407,0.3475682293167307
m-rfnk3h13vr07,CHPE,ACUN,1993,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.64447164685262,0.7789751363426825,1.017169756588924,1.076898096123421,0.373399199806125
m-rfnk3h13vr07,CHPE,ACUN,1994,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.66318317005362,0.7738690463900096,1.0212343179629526,1.0820363194030296,0.3672896225683949
m-rfnk3h13vr07,CHPE,ACUN,1995,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.687602425585052,0.76429992622897025,0.9914720085563773,1.0492672743230202,0.3543470805184206
m-rfnk3h13vr07,CHPE,ACUN,1996,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.681761216512584,0.7494810209278902,1.0305263699908445,1.0846252723328267,0.3661093728062852
m-rfnk3h13vr07,CHPE,ACUN,1997,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.70870136541711,0.7253708578507418,1.0470147112853119,1.1035765661892145,0.3679189308286825
m-rfnk3h13vr07,CHPE,ACUN,1998,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.754440749848674,0.6900902063341964,1.0129142362411434,1.0775715205317424,0.36906276590540754
m-rfnk3h13vr07,CHPE,ACUN,1999,Acuna Island,48.2,-60.7612,-44.637,1,1,0,0,8.774330128382887,0.6579677059134267,1.0652872940419917,1.1204157866492235,0.37222494010361773
