"ID","Binomial","Species_id","Site_ID","Site_name","Latitude","Longitude","Region","Ccamlr_id","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Pygoscelis_papua","GEPE","AITC","Barrientos Island (Aitcho Islands)","-62.4071","-59.7517","South Shetland Islands","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,"1","1","1","1","1","1","1",NA,"1","1","1",NA,"1","1",NA
"2","Pygoscelis_papua","GEPE","ALMI","Brown Station","-64.895556","-62.870278","Central-west Antarctic Peninsula","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1"
"3","Pygoscelis_papua","GEPE","ANVS","Anvers Island South West (7 km south of Gerlache Island)","-64.661","-64.247","Central-west Antarctic Peninsula","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"4","Pygoscelis_papua","GEPE","ARDL","Ardley Island","-62.213","-58.933","South Shetland Islands","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pygoscelis_papua","GEPE","BARN","Barnard Point (Livingston Island)","-62.758","-60.338","South Shetland Islands","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pygoscelis_papua","GEPE","BART","Barton Peninsula","-62.224","-58.791","South Shetland Islands","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA
"7","Pygoscelis_papua","GEPE","BENE","Beneden Head","-64.7671","-62.701","Central-west Antarctic Peninsula","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA
"8","Pygoscelis_papua","GEPE","BISC","Biscoe Point","-64.8114","-63.7775","Central-west Antarctic Peninsula","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA
"9","Pygoscelis_papua","GEPE","BRAS","Brash Island","-63.386389","-54.914167","Northeast Antarctic Peninsula","48.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"10","Pygoscelis_papua","GEPE","BRIT","Brittannia's Figleaf","-61.278","-55.213","Elephant Island","48.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
