"","Binomial","Common_name","Num_pops","Start_year","End_year","Avg_p_chg"
"1","Balearica_regulorum","Grey-crowned crane","6","1985","2011","527"
"2","Acrocephalus_sechellensis","Seychelles warbler","2","1958","1994","1227"
"3","Copsychus_sechellarum","Seychelles magpie-robin","6","1988","2005","487"
"4","Falco_punctatus","Mauritius kestrel","3","1973","2003","2919"
"5","Gyps_coprotheres","Cape vulture","6","1975","2012","1844"
"6","Gyps_africanus","White-backed vulture","2","1986","2016","2080"
"7","Leptoptilos_crumenifer","Marabou","5","1965","2010","308"
"8","Necrosyrtes_monachus","Hooded vulture","2","1974","2016","50"
"9","Psittacula_eques","Echo parakeet","1","1986","1998","900"
"10","Torgos_tracheliotos","Lappet-faced vulture","2","1971","2016","105"
"11","Trigonoceps_occipitalis","White-headed vulture","1","1999","2016","200"
"12","Acinonyx_jubatus","Cheetah","2","1969","2007","521"
"13","Aepyceros_melampus","Impala / Black-faced impala","16","1971","2013","183"
"14","Alcelaphus_caama","Red hartebeest","1","1970","1985","967"
"15","Alcelaphus_buselaphus","Hartebeest / Swayne's hartebeest","17","1971","2013","132"
"16","Antidorcas_marsupialis","Springbok","1","1970","1985","108"
"17","Canis_simensis","Ethiopian wolf","4","1992","2009","239"
"18","Ceratotherium_simum","Southern white rhinoceros / Northern white rhinoceros","15","1960","2011","17156"
"19","Lophocebus_albigena","Grey-cheeked mangabey","5","1975","2010","155"
"20","Cercopithecus_mitis","Blue monkey","5","1965","2012","49"
"21","Colobus_guereza","Guereza / Magistrate colobus / Eastern black-and-white colobus","7","1950","2012","70"
"22","Connochaetes_gnou","Black wildebeest / White-tailed gnu","1","1972","2003","718"
"23","Connochaetes_taurinus","White-bearded wildebeest / Blue wildebeest","23","1958","2013","6735"
"24","Damaliscus_pygargus","Bontebok / Blesbok","3","1961","2002","171"
"25","Damaliscus_korrigum","Topi / Korrigum / Tiang","3","1977","2001","140"
"26","Damaliscus_lunatus","Topi / Tsessebe antelope","8","1971","2012","220"
"27","Diceros_bicornis","Black rhinoceros","24","1958","2013","480"
"28","Equus_burchellii","Burchell's zebra / Plains zebra / Common zebra","22","1965","2013","362"
"29","Equus_grevyi","Grevy's zebra","5","1977","2006","328"
"30","Equus_zebra","Cape mountain zebra","12","1950","1998","348"
"31","Nanger_granti","Grant's gazelle","8","1976","2013","505"
"32","Giraffa_camelopardalis","Giraffe","20","1950","2013","223"
"33","Gorilla_beringei","Mountain gorilla / Eastern lowland gorilla","6","1978","2015","27"
"34","Hippotragus_equinus","Roan antelope","9","1969","2011","856"
"35","Hippotragus_niger","Sable antelope","4","1986","2006","387"
"36","Kobus_ellipsiprymnus","Waterbuck","21","1975","2017","796"
"37","Kobus_kob","Kob","7","1986","2013","165"
"38","Loxodonta_africana","African elephant","90","1950","2015","691"
"39","Lycaon_pictus","African wild dog","3","1975","2000","53"
"40","Mastomys_natalensis","African rat / Natal multimammate mouse","1","1994","2000","150"
"41","Ourebia_ourebi","Oribi","1","1989","2012","16"
"42","Panthera_leo","African lion / Asiatic lion","11","1962","2010","192"
"43","Papio_hamadryas","Baboon","1","1965","1984","25"
"44","Phacochoerus_africanus","Common warthog / Desert warthog","15","1977","2013","174"
"45","Piliocolobus_tephrosceles","Ugandan red colobus","2","1980","2010","185"
"46","Pteropus_livingstonii","Livingstone's flying fox","2","1994","2013","70"
"47","Pteropus_rodricensis","Rodrigues flying fox","1","1979","2002","400"
"48","Pteropus_voeltzkowi","Pemba flying fox","1","1992","1995","68"
"49","Redunca_fulvorufula","Mountain reedbuck / Western mountain reedbuck","2","1971","1992","136"
"50","Redunca_redunca","Bohar reedbuck / Bohor reedbuck","4","1968","2013","297"
"51","Sylvicapra_grimmia","Common duiker / Grey duiker","4","1975","2012","303"
"52","Syncerus_caffer","African buffalo / Cape buffalo","32","1956","2013","29931"
"53","Taurotragus_derbianus","Giant eland / Derby's eland","1","1983","2010","31"
"54","Taurotragus_oryx","Common eland / Eland","11","1972","2013","246"
"55","Tragelaphus_angasii","Nyala","2","1969","2006","259"
"56","Tragelaphus_buxtoni","Mountain nayala","2","1975","2001","21"
"57","Tragelaphus_scriptus","Bushbuck","10","1959","2013","408"
"58","Tragelaphus_spekii","Sitatunga","3","1969","2008","331"
"59","Tragelaphus_strepsiceros","Greater kudu","10","1975","2007","97"
"60","Casarea_dussumieri","Round Island boa / Round Island keel-scaled boa","2","1975","2008","471"
"61","Leiolopisma_telfairii","Mccann's ground skink / Round Island skink","2","1975","1996","340"
"62","Nactus_serpensinsula","Serpent Island gecko","1","1982","1989","2000"
"63","Phelsuma_guentheri","Round Island day gecko","1","1982","1996","276"
"64","Gongylomorphus_bojerii","Bojer's skink","2","1975","1996","407"
"65","Apteryx_australis","Southern brown kiwi","1","1990","1995","0"
"66","Apteryx_owenii","Little spotted kiwi","1","1990","1995","4"
"67","Callaeas_cinereus","South Island kokako","3","1990","1996","48"
"68","Cyanoramphus_novaezelandiae","Red-fronted parakeet","1","1978","2002","567"
"69","Lathamus_discolor","Swift parrot","1","1995","2006","129"
"70","Neophema_chrysogaster","Orange-bellied parrot","1","1991","2000","25"
"71","Psophodes_nigrogularis","Western whipbird","1","1970","1982","67"
"72","Lasiorhinus_krefftii","Northern hairy-nosed wombat","3","1984","2016","255"
"73","Macropus_fuliginosus","Western grey kangaroo","3","1973","2005","33"
"74","Trichosurus_vulpecula","Common brush-tailed possum","1","1982","2009","278"
"75","Loxioides_bailleui","Palila","1","1992","2001","386"
"76","Telespiza_cantans","Laysan finch","1","1988","2004","81"
"77","Vini_ultramarina","Ultramarine lorikeet","1","1970","1998","478"
"78","Pteropus_mariannus","Mariana fruit bat","1","1978","1984","824"
"79","Gyps_bengalensis","White-rumped vulture","10","1997","2016","125"
"80","Axis_axis","Chital / Axis deer / Indian spotted deer","2","1979","2007","24"
"81","Axis_porcinus","Hog deer","1","1966","1984","653"
"82","Bos_frontalis","Gaur","7","1966","2016","651"
"83","Boselaphus_tragocamelus","Nilgai","1","1979","2007","2"
"84","Bubalus_bubalis","Asiatic buffalo / Water buffalo","2","1966","2004","98"
"85","Rucervus_duvaucelii","Swamp deer","2","1966","1993","150"
"86","Cervus_elaphus","Red deer / Elk","57","1952","2019","455"
"87","Rusa_unicolor","Sambar","5","1972","2012","313"
"88","Elephas_maximus","Asian elephant","4","1966","2012","1163"
"89","Equus_hemionus","Wild ass / Kulan","3","1967","2000","524"
"90","Hemitragus_hylocrius","Nilgiri tahr","3","1969","1994","35"
"91","Macaca_silenus","Lion-tailed macaque","2","1977","2005","51"
"92","Ovis_ammon","Argali / Kizil-kum sheep","2","1983","1997","79"
"93","Ovis_aries","Urial","5","1953","2001","726"
"94","Panthera_pardus","Leopard","5","1974","2010","119"
"95","Panthera_tigris","Tiger","37","1955","2018","138"
"96","Rhinoceros_sondaicus","Javan rhinoceros","4","1969","2013","81"
"97","Rhinoceros_unicornis","Greater one-horned rhino","20","1966","2015","165"
"98","Tetracerus_quadricornis","Four-horned antelope","1","1979","1985","2"
"99","Trachypithecus_poliocephalus","Francois leaf monkey","1","1976","1993","186"
"100","Trachypithecus_francoisi","Fran??ois' langur","2","1982","1994","33"
"101","Agelaius_xanthomus","Yellow-shouldered blackbird","3","1982","1995","93"
"102","Amazona_arausiaca","Red-necked amazon","1","1977","1992","43"
"103","Amazona_leucocephala","Cuban amazon","3","1986","2005","62"
"104","Amazona_barbadensis","Yellow-shouldered amazon","1","1989","1996","138"
"105","Amazona_versicolor","St Lucia amazon","1","1977","1990","225"
"106","Amazona_vittata","Puerto rican amazon","1","1975","2004","186"
"107","Buteo_platypterus","Broad-winged hawk","6","1970","2014","81"
"108","Hippocamelus_bisulcus","South Andean deer / Huemul","3","1975","2008","75"
"109","Leontopithecus_chrysomelas","Golden-headed lion tamarin","1","1981","1995","100"
"110","Saimiri_oerstedii","Black-crowned Central American squirrel monkey","1","1990","1997","3"
"111","Vicugna_vicugna","Vicuna","2","1975","1992","703"
"112","Linaria_cannabina","Common linnet","8","1970","2019","54"
"113","Accipiter_gentilis","Northern goshawk","10","1970","2014","293"
"114","Accipiter_nisus","Eurasian sparrowhawk","14","1952","2019","119"
"115","Alauda_arvensis","Eurasian skylark","13","1950","2019","60"
"116","Anser_albifrons","Greater white-fronted goose","35","1960","2012","45203"
"117","Anser_brachyrhynchus","Pink-footed goose","13","1950","2010","2997"
"118","Anser_erythropus","Lesser white-fronted goose","6","1982","2011","1906"
"119","Anser_fabalis","Bean goose","11","1968","2010","279"
"120","Anthus_trivialis","Tree pipit","9","1960","2019","136"
"121","Apus_apus","Common swift","3","1995","2019","62"
"122","Aquila_chrysaetos","Golden eagle","9","1971","2014","316"
"123","Branta_bernicla","Brent goose","34","1955","2013","3336"
"124","Branta_canadensis","Canada goose","27","1964","2014","10014"
